Feature Name,Odds
nfl,12.774481362420794
qb,2.334324906682998
bowl,2.229995708321256
yards,1.8885643568614652
draft,1.8811256326337626
rnfl,1.736748422376564
offense,1.60905265437232
field,1.6027441511167724
eagles,1.572497816145432
patriots,1.5502157917527375
franchise,1.45073055980017
brady,1.416753610830888
playoff,1.4057224917775193
steelers,1.3611803541816134
quarterback,1.3558114176651146
college,1.353126366972894
division,1.3426731629005741
jets,1.3400168791139253
receiver,1.3188303143385594
giants,1.3183116785677336
coach,1.318263673834739
brees,1.3094007933681346
cowboys,1.3011829014278986
rams,1.295448427715255
rodgers,1.2931552435161051
raiders,1.2908528459337327
chargers,1.2859006984149288
2017,1.2839617250112108
picks,1.2815221407019124
years,1.278057799735712
guy,1.2757504499524432
superbowl,1.2732083995886831
ravens,1.2697993392653222
qbs,1.2690941006417258
packers,1.2635696145540436
rookie,1.261967132429237
offensive,1.2554011194327122
practice,1.245967758795395
coaches,1.2443466820081652
browns,1.2390969515040975
offseason,1.238196087380912
nfc,1.2374796624263913
td,1.2372695354814685
bengals,1.2346574696287378
running,1.2317156941304856
chiefs,1.2305396275515676
night,1.2203680213005534
contract,1.2182632201373582
baltimore,1.2172752652187078
defensive,1.2138634038071592
pro,1.2114858298386577
brown,1.2107135791633339
playoffs,1.209369595407615
cap,1.2081093462120538
bay,1.206841647426088
jaguars,1.2059488070250013
washington,1.2039294361630177
broncos,1.203282123494666
helmet,1.2014144128995092
16,1.2009585477706468
yard,1.1997014292151977
sacks,1.198407291532961
bears,1.1977396791537986
vikings,1.191606998771756
organization,1.1909439352913644
preseason,1.1894641746800636
texans,1.1894574615671367
49ers,1.1822099858670774
kind,1.1814117650512745
shit,1.1809704947125519
bills,1.1801596685420463
trade,1.1777551743307888
bye,1.1776101138114565
te,1.177452576868301
career,1.1768195716927414
mike,1.1767314477297084
sb,1.1750805071451422
defense,1.174934241027868
gt,1.1740209767013217
jackson,1.1711819844715234
cbs,1.169870128629924
pff,1.1696160771309576
hill,1.1690947319340599
belichick,1.1678133222911904
tds,1.1671267237807552
pittsburgh,1.1666790681158739
record,1.1659279238733338
afc,1.1652947085070509
falcons,1.164962659421989
wr,1.1642253570945647
point,1.1618547955227234
like,1.1606395463454315
2011,1.158745783929281
redskins,1.1572302495453115
went,1.1538838045752497
dealing,1.1532273485996507
touchdown,1.1515147219342021
seahawks,1.1498290298698224
salary,1.1491125454019915
bucs,1.147906513245867
numbers,1.1476206061598826
jr,1.1446257496802654
12,1.144467898322765
bell,1.1434248639149804
colts,1.141513370298553
tom,1.1407982999248267
great,1.137623541852605
jags,1.1372637206128684
sunday,1.1366959903908778
calls,1.1364995845818942
list,1.1361305485654531
late,1.1356493555857
manning,1.1356155970687487
hall,1.134406230386582
jerry,1.133800125332177
im,1.1337515575450363
kids,1.1330814757900924
32,1.132364492313944
friendly,1.1314566445188845
nfls,1.1312575507086278
cardinals,1.129922074787678
vegas,1.1295736857589884
thats,1.1286979515108284
rb,1.1280006115683168
line,1.1273773316975306
edit,1.1269300899269108
quarterbacks,1.1263254639394222
type,1.1260240540813653
cool,1.125927411924835
lions,1.1255202705920235
year,1.121611033922992
celtics,1.1210326246304283
flag,1.1204056689577673
divisional,1.1198917068874632
rcfb,1.1194234122604325
2018,1.1178324661896146
instead,1.1176055166340593
madden,1.1175485600544848
zone,1.1173328088258594
miami,1.1162065803370758
fumble,1.1156349031503205
davis,1.1149862079324901
jones,1.114750461354249
hitting,1.1147221887788317
lot,1.1146181218260582
combine,1.113872795547555
wilson,1.112604487910371
hands,1.1120825162624028
ive,1.1120014036439163
talk,1.111686462262474
attempts,1.1110303267676984
pat,1.1110149673866327
rushers,1.109789655036164
critical,1.1092201639034567
2016,1.1092176290207079
roster,1.1090669983815555
watt,1.109050726469959
johnson,1.1090464925256807
said,1.1086512083572406
runs,1.1084142778133927
pass,1.1083562203528288
tony,1.1081220783704215
greg,1.1073702850635179
lineman,1.1069376756770404
williams,1.1056317988176325
catch,1.105020627117702
linemen,1.10489284975399
russell,1.104868075335517
adams,1.104407108796967
determine,1.1042597977323847
sure,1.1036911324877525
wonlosttied,1.103426659957213
decided,1.101821392568446
sanders,1.1016423444094787
linebacker,1.1015696066569272
drafted,1.1014467638233907
deal,1.1012756161084185
mahomes,1.1008416370571055
special,1.0999632371714165
passer,1.0994853889997498
relocate,1.098727980870189
basics,1.098430166320137
concepts,1.098224969854672
mock,1.098209857318435
dance,1.0981806014763051
threw,1.098099641746137
pick,1.0969141421786823
worth,1.0966049973186758
clock,1.0964183356158281
heres,1.0962709655891152
pats,1.0960944203908365
ol,1.095484742148256
josh,1.095282980768515
power,1.0947450044451934
camp,1.0947024224087576
family,1.0937439550811219
hof,1.0935608805781163
conference,1.0931279455933989
caught,1.0928523588233061
kinda,1.0920151685958097
ryan,1.0918690362809862
