,count_all,freq%_all,count_nfl,freq%_nfl,count_epl,freq%_epl
team,7688.0,0.6214031684448755,5510.0,0.7892852026930239,2178.0,0.4040066777963272
season,5566.0,0.4498868412544455,3628.0,0.5196963185790001,1938.0,0.35948803561491377
game,5391.0,0.4357419980601358,4063.0,0.5820083082652915,1328.0,0.24633648673715453
league,5150.0,0.4162625282896864,1362.0,0.1951009883970778,3788.0,0.7026525690966425
like,5049.0,0.40809893307468476,3428.0,0.4910471279186363,1621.0,0.30068632906696346
nfl,4945.0,0.399692854833495,4898.0,0.7016186792723106,,
just,4720.0,0.3815066278693825,3175.0,0.454805901733276,1545.0,0.2865887590428492
teams,4360.0,0.35240866472680243,3100.0,0.4440624552356396,1260.0,0.2337228714524207
think,4195.0,0.3390720982864533,2805.0,0.40180489901160293,1390.0,0.25783713596735297
year,4026.0,0.3254122211445199,3450.0,0.4941985388912763,576.0,0.10684474123539232
players,3430.0,0.2772389266084707,2304.0,0.3300386764073915,1126.0,0.2088666295677982
games,3389.0,0.27392499191723246,2401.0,0.34393353387766795,988.0,0.18326841031348545
time,3187.0,0.2575978014872292,2308.0,0.3306116602205988,879.0,0.16304952698942682
football,3172.0,0.2563853863562884,1817.0,0.2602778971494055,1355.0,0.2513448339825635
know,2721.0,0.2199321047526673,1716.0,0.24581005586592178,1005.0,0.1864218141346689
best,2605.0,0.21055609440672488,1694.0,0.24265864489328176,911.0,0.1689853459469486
im,2567.0,0.20748464274167475,1675.0,0.2399369717805472,892.0,0.16546095344092004
play,2542.0,0.20546395085677335,1910.0,0.27359977080647474,632.0,0.11723242441105547
qb,2513.0,0.20311994827028776,2513.0,0.3599770806474717,,
good,2510.0,0.20287746524409958,1775.0,0.2542615671107291,735.0,0.13633834168057873
player,2427.0,0.19616876818622697,1708.0,0.24466408823950722,719.0,0.13337043220181785
years,2338.0,0.188975105075978,1818.0,0.26042114310270736,520.0,0.09645705805972918
week,2248.0,0.18170061429033302,1917.0,0.27460249247958746,331.0,0.061398627341866074
premier,2241.0,0.1811348205625606,,,2220.0,0.41179744017807457
10,2238.0,0.18089233753637246,1830.0,0.26214009454232917,408.0,0.07568169170840289
new,2076.0,0.16779825412221144,1421.0,0.20355249964188513,655.0,0.12149879428677425
super,2039.0,0.1648076301325574,1857.0,0.2660077352814783,182.0,0.03375997032090521
really,1946.0,0.15729065632072423,1302.0,0.18650623119896864,644.0,0.11945835652012614
win,1940.0,0.15680569026834787,1379.0,0.19753616960320872,561.0,0.10406232609905398
bowl,1894.0,0.1530876172001293,1890.0,0.2707348517404383,,
yards,1891.0,0.15284513417394116,1880.0,0.26930239220742014,,
dont,1875.0,0.15155189136760427,1306.0,0.1870792150121759,569.0,0.10554628083843443
fan,1870.0,0.151147752990624,934.0,0.13379172038389917,936.0,0.17362270450751252
make,1866.0,0.15082444228903977,1393.0,0.19954161294943418,473.0,0.08773882396586904
people,1832.0,0.14807630132557387,1273.0,0.18235209855321588,559.0,0.10369133741420887
fans,1778.0,0.14371160685418688,880.0,0.12605643890560092,898.0,0.16657391949545539
going,1775.0,0.1434691238279987,1237.0,0.17719524423435037,538.0,0.09979595622333519
vs,1734.0,0.14015518913676042,1182.0,0.16931671680275032,552.0,0.10239287701725097
draft,1646.0,0.13304235370190753,1619.0,0.2319151983956453,,
better,1611.0,0.13021338506304558,1217.0,0.17433032516831398,394.0,0.0730847709144871
city,1580.0,0.12770772712576786,,,1260.0,0.2337228714524207
want,1568.0,0.1267377950210152,922.0,0.13207276894427733,646.0,0.11982934520497125
way,1438.0,0.11623019721952797,966.0,0.13837559088955736,472.0,0.08755332962344649
great,1430.0,0.11558357581635952,1095.0,0.15685431886549206,335.0,0.062140604711556295
does,1385.0,0.11194633042353702,845.0,0.12104283054003724,540.0,0.1001669449081803
guys,1365.0,0.11032977691561591,986.0,0.14124050995559376,379.0,0.07030235577814876
pick,1345.0,0.10871322340769479,1202.0,0.1721816358687867,,
liverpool,1345.0,0.10871322340769479,,,1338.0,0.24819143016138007
patriots,1324.0,0.10701584222437763,1320.0,0.18908465835840138,,
brady,1322.0,0.10685418687358551,1319.0,0.18894141240509957,,
got,1318.0,0.1065308761720013,959.0,0.13737286921644465,359.0,0.06659246892969764
watch,1297.0,0.10483349498868412,572.0,0.08193668528864059,725.0,0.1344833982563532
say,1297.0,0.10483349498868412,953.0,0.13651339349663372,344.0,0.0638100537933593
played,1286.0,0.10394439055932751,936.0,0.1340782122905028,350.0,0.06492301984789464
man,1225.0,0.09901390236016812,,,963.0,0.17863105175292154
big,1222.0,0.09877141933397995,725.0,0.10385331614381894,497.0,0.09219068818401038
did,1209.0,0.09772065955383123,903.0,0.12935109583154275,306.0,0.05676126878130217
round,1188.0,0.09602327837051407,1113.0,0.1594327460249248,,
united,1170.0,0.09456838021338507,,,1148.0,0.21294750510109442
won,1148.0,0.09279017135467184,870.0,0.12462397937258272,278.0,0.0515674271934706
x200b,1142.0,0.09230520530229551,743.0,0.10643174330325168,399.0,0.07401224262659989
lot,1141.0,0.09222437762689945,840.0,0.12032660077352815,301.0,0.05583379706918939
right,1129.0,0.09125444552214679,764.0,0.10943990832258989,365.0,0.06770543498423298
ball,1128.0,0.09117361784675072,837.0,0.11989686291362268,291.0,0.053978853644963826
club,1100.0,0.08891044293566117,,,1043.0,0.193470599146726
line,1083.0,0.08753637245392823,932.0,0.1335052284772955,,
points,1061.0,0.085758163595215,687.0,0.09840996991834981,374.0,0.06937488406603598
look,1043.0,0.084303265438086,734.0,0.10514252972353531,309.0,0.057317751808569836
feel,1035.0,0.08365664403491756,642.0,0.09196390201976794,393.0,0.07289927657206455
20,1024.0,0.08276753960556095,684.0,0.09798023205844435,340.0,0.06306807642366907
hes,1015.0,0.08204009052699644,759.0,0.1087236785560808,256.0,0.04748655166017436
chelsea,1014.0,0.08195926285160039,,,1014.0,0.1880912632164719
defense,1006.0,0.08131264144843195,921.0,0.13192952299097552,,
11,996.0,0.08050436469447139,820.0,0.11746168170749176,176.0,0.03264700426636988
looking,991.0,0.08010022631749111,558.0,0.07993124194241513,433.0,0.0803190502689668
end,988.0,0.07985774329130295,708.0,0.101418134937688,280.0,0.051938415878315713
12,982.0,0.0793727772389266,840.0,0.12032660077352815,,
ive,965.0,0.07799870675719367,604.0,0.0865205557942988,361.0,0.06696345761454275
need,955.0,0.07719043000323311,555.0,0.07950150408250967,400.0,0.07419773696902245
playing,949.0,0.07670546395085677,626.0,0.08967196676693884,323.0,0.059914672602485626
record,930.0,0.07516973811833172,803.0,0.11502650050136083,,
arsenal,924.0,0.07468477206595538,,,920.0,0.1706547950287516
getting,922.0,0.07452311671516328,623.0,0.08924222890703337,299.0,0.05546280838434428
don,919.0,0.07428063368897511,569.0,0.08150694742873514,350.0,0.06492301984789464
watching,914.0,0.07387649531199483,492.0,0.07047700902449505,422.0,0.07827861250231868
point,914.0,0.07387649531199483,640.0,0.0916774101131643,274.0,0.05082544982378037
pro,912.0,0.07371483996120272,895.0,0.1282051282051282,,
career,911.0,0.07363401228580665,838.0,0.12004010886692451,,
start,906.0,0.07322987390882638,587.0,0.08408537458816788,319.0,0.0591726952327954
steelers,906.0,0.07322987390882638,902.0,0.12920784987824094,,
eagles,901.0,0.0728257355318461,896.0,0.12834837415843003,,
help,895.0,0.07234076947946977,466.0,0.06675261423864776,429.0,0.07957707289927657
bad,893.0,0.07217911412867765,674.0,0.09654777252542615,219.0,0.04062326099053979
browns,881.0,0.071209182023925,879.0,0.1259131929522991,,
nfc,869.0,0.07023924991917233,869.0,0.12448073341928091,,
chiefs,868.0,0.07015842224377628,868.0,0.12433748746597909,,
afc,868.0,0.07015842224377628,848.0,0.12147256839994271,,
qbs,862.0,0.06967345619139993,862.0,0.12347801174616817,,
rams,859.0,0.06943097316521177,858.0,0.12290502793296089,,
giants,857.0,0.06926931781441965,844.0,0.12089958458673543,,
question,852.0,0.06886517943743937,589.0,0.08437186649477152,263.0,0.04878501205713226
offense,848.0,0.06854186873585516,837.0,0.11989686291362268,,
15,840.0,0.06789524733268672,667.0,0.09554505085231342,173.0,0.03209052123910221
16,838.0,0.0677335919818946,719.0,0.10299384042400803,,
coach,833.0,0.06732945360491432,763.0,0.10929666236928806,,
run,833.0,0.06732945360491432,698.0,0.09998567540466982,,
post,823.0,0.06652117685095377,601.0,0.08609081793439335,222.0,0.041179744017807454
playoff,822.0,0.06644034917555772,798.0,0.11431027073485174,,
saints,818.0,0.06611703847397349,802.0,0.11488325454805902,,
pass,808.0,0.06530876172001293,725.0,0.10385331614381894,,
ravens,801.0,0.06474296799224054,801.0,0.11474000859475719,,
ve,795.0,0.06425800193986421,472.0,0.06761208995845867,323.0,0.059914672602485626
packers,795.0,0.06425800193986421,785.0,0.11244807334192809,,
field,793.0,0.0640963465890721,746.0,0.10686148116315713,,
history,792.0,0.06401551891367604,575.0,0.08236642314854606,217.0,0.04025227230569468
playoffs,792.0,0.06401551891367604,762.0,0.10915341641598625,,
cowboys,786.0,0.0635305528612997,783.0,0.11216158143532445,,
13,784.0,0.0633688975105076,689.0,0.09869646182495345,,
maybe,780.0,0.06304558680892337,563.0,0.08064747170892422,217.0,0.04025227230569468
jets,770.0,0.062237310054962816,769.0,0.11015613808909898,,
seasons,768.0,0.06207565470417071,614.0,0.087953015327317,154.0,0.02856612873307364
love,762.0,0.06159068865179437,442.0,0.0633147113594041,320.0,0.059358189575217955
sports,755.0,0.06102489492402199,,,323.0,0.059914672602485626
long,754.0,0.06094406724862593,537.0,0.07692307692307693,217.0,0.04025227230569468
bears,752.0,0.060782411897833816,750.0,0.10743446497636441,,
second,748.0,0.060459101196249594,554.0,0.07935825812920785,194.0,0.03598590242997589
free,746.0,0.06029744584545749,467.0,0.06689586019194958,279.0,0.05175292153589316
position,746.0,0.06029744584545749,616.0,0.08823950723392064,,
west,745.0,0.06021661817006143,,,487.0,0.09033574475978483
17,744.0,0.06013579049466537,632.0,0.09053144248674976,,
having,742.0,0.059974135143873265,522.0,0.07477438762354964,220.0,0.04080875533296235
14,737.0,0.05956999676689299,617.0,0.08838275318722245,,
sure,736.0,0.05948916909149693,526.0,0.0753473714367569,210.0,0.038953811908736785
goal,733.0,0.059246686065308765,,,454.0,0.08421443145984048
pretty,729.0,0.05892337536372454,572.0,0.08193668528864059,157.0,0.02912261176034131
come,724.0,0.05851923698674426,470.0,0.06732559805185503,254.0,0.047115562975329255
seen,724.0,0.05851923698674426,490.0,0.07019051711789141,234.0,0.04340567612687813
day,718.0,0.05803427093436793,485.0,0.06947428735138232,233.0,0.04322018178445557
probably,712.0,0.05754930488199159,544.0,0.07792579859618966,168.0,0.031163049526989426
said,711.0,0.057468477206595536,540.0,0.07735281478298238,171.0,0.03171953255425709
stats,711.0,0.057468477206595536,608.0,0.08709353960750608,,
things,710.0,0.057387649531199486,540.0,0.07735281478298238,170.0,0.031534038211834536
far,709.0,0.05730682185580343,457.0,0.06546340065893139,252.0,0.04674457429048414
thought,707.0,0.057145166505011315,522.0,0.07477438762354964,185.0,0.03431645334817288
winning,707.0,0.057145166505011315,508.0,0.07276894427732417,199.0,0.036913374142088666
let,706.0,0.05706433882961526,456.0,0.06532015470562956,250.0,0.04637358560563903
bills,702.0,0.056741028128031036,698.0,0.09998567540466982,,
actually,699.0,0.05649854510184287,488.0,0.06990402521128779,211.0,0.03913930625115934
colts,697.0,0.05633688975105076,696.0,0.09969918349806618,,
manchester,696.0,0.05625606207565471,,,695.0,0.12891856798367649
clubs,690.0,0.05577109602327837,,,672.0,0.1246521981079577
wr,686.0,0.05544778532169415,686.0,0.09826672396504799,,
rodgers,677.0,0.05472033624312965,666.0,0.09540180489901161,,
tds,672.0,0.05431619786614937,672.0,0.09626128061882251,,
chargers,669.0,0.0540737148399612,669.0,0.09583154275891706,,
seahawks,669.0,0.0540737148399612,668.0,0.09568829680561525,,
49ers,665.0,0.05375040413837698,662.0,0.09482882108580433,,
contract,663.0,0.05358874878758487,606.0,0.08680704770090245,,
division,661.0,0.05342709343679276,634.0,0.0908179343933534,,
2019,659.0,0.05326543808600065,531.0,0.07606360120326601,,
2018,658.0,0.05318461041060459,577.0,0.0826529150551497,,
away,658.0,0.05318461041060459,,,249.0,0.04618809126321647
guy,654.0,0.05286129970902037,577.0,0.0826529150551497,,
vikings,646.0,0.05221467830585192,645.0,0.0923936398796734,,
starting,645.0,0.05213385063045587,492.0,0.07047700902449505,,
championship,644.0,0.05205302295505981,,,211.0,0.03913930625115934
1st,639.0,0.051648884578079535,592.0,0.08480160435467698,,
raiders,639.0,0.051648884578079535,635.0,0.09096118034665521,,
td,637.0,0.05148722922728742,637.0,0.09124767225325885,,
lost,635.0,0.05132557387649531,490.0,0.07019051711789141,,
match,632.0,0.05108309085030714,,,543.0,0.10072342793544797
past,626.0,0.05059812479793081,455.0,0.06517690875232775,171.0,0.03171953255425709
support,624.0,0.0504364694471387,,,442.0,0.08198849935076981
titans,623.0,0.05035564177174264,623.0,0.08924222890703337,,
